justice_id,abbreviation,full_name,tenure_start,tenure_end
1,JJay,"Jay, John",1789-10-19,1795-06-29
2,JRutledge1,"Rutledge, John",1790-02-15,1791-03-05
3,WCushing,"Cushing, William",1790-02-02,1810-09-13
4,JWilson,"Wilson, James",1789-10-05,1798-08-21
5,JBlair,"Blair, John",1790-02-02,1796-01-27
6,JIredell,"Iredell, James",1790-05-12,1799-10-20
7,TJohnson,"Johnson, Thomas",1791-09-19,1793-02-22
8,WPaterson,"Paterson, William",1793-03-11,1806-09-09
9,JRutledge2,"Rutledge, John",1795-08-12,1795-12-15
10,SChase,"Chase, Samuel",1796-02-04,1811-06-19
11,OEllsworth,"Ellsworth, Oliver",1796-03-08,1800-12-15
12,BWashington,"Washington, Bushrod",1798-11-09,1829-11-26
13,AMoore,"Moore, Alfred",1800-04-21,1804-01-26
14,JMarshall,"Marshall, John",1801-02-04,1835-07-06
15,WJohnson,"Johnson, William",1804-05-07,1834-08-04
16,HBLivingston,"Livingston, Henry",1807-01-20,1823-03-18
17,TTodd,"Todd, Thomas",1807-05-04,1826-02-07
18,GDuvall,"Duvall, Gabriel",1811-11-23,1835-01-14
19,JStory,"Story, Joseph",1812-02-03,1845-09-10
20,SThompson,"Thompson, Smith",1823-09-01,1843-12-18
21,RTrimble,"Trimble, Robert",1826-06-16,1828-08-25
22,JMcLean,"McLean, John",1830-01-11,1861-04-04
23,HBaldwin,"Baldwin, Henry",1830-01-18,1844-04-21
24,JMWayne,"Wayne, James",1835-01-14,1867-07-05
25,RBTaney,"Taney, Roger",1836-03-28,1864-10-12
26,PPBarbour,"Barbour, Philip",1836-05-12,1841-02-25
27,JCatron,"Catron, John",1837-05-01,1865-05-30
28,JMcKinley,"McKinley, John",1837-04-22,1852-07-19
29,PVDaniel,"Daniel, Peter",1842-01-10,1860-05-31
30,SNelson,"Nelson, Samuel",1845-02-27,1872-11-28
31,LWoodbury,"Woodbury, Levi",1845-09-23,1851-09-04
32,RCGrier,"Grier, Robert",1846-08-10,1870-01-31
33,BRCurtis,"Curtis, Benjamin",1851-10-10,1857-09-30
34,JACampbell,"Campbell, John",1853-04-11,1861-04-30
35,NClifford,"Clifford, Nathan",1858-01-21,1881-07-25
36,NHSwayne,"Swayne, Noah",1862-01-27,1881-01-24
37,SFMiller,"Miller, Samuel",1862-07-21,1890-10-13
38,DDavis,"Davis, David",1862-10-17,1877-03-04
39,SJField,"Field, Stephen",1863-05-20,1897-12-01
40,SPChase,"Chase, Salmon",1864-12-15,1873-05-07
41,WStrong,"Strong, William",1870-03-14,1880-12-14
42,JPBradley,"Bradley, Joseph",1870-03-21,1892-01-22
43,WHunt,"Hunt, Ward",1873-01-09,1882-01-27
44,MRWaite,"Waite, Morrison",1874-03-04,1888-04-03
45,JHarlan1,"Harlan, John",1877-12-10,1911-10-14
46,WBWoods,"Woods, William",1881-01-05,1887-05-14
47,SMatthews,"Matthews, Stanley",1881-05-17,1889-03-22
48,HGray,"Gray, Horace",1882-01-09,1902-09-15
49,SBlatchford,"Blatchford, Samuel",1882-04-03,1893-07-07
50,LQLamar,"Lamar, Lucius",1888-01-18,1893-01-23
51,MWFuller,"Fuller, Melville",1888-10-08,1910-07-04
52,DJBrewer,"Brewer, David",1890-01-06,1910-03-28
53,HBBrown,"Brown, Henry",1891-01-05,1906-05-28
54,GShiras,"Shiras, George",1892-10-10,1903-02-23
55,HEJackson,"Jackson, Howell",1893-03-04,1895-08-08
56,EDEWhite,"White, Edward",1894-03-12,1921-05-19
57,RWPeckham,"Peckham, Rufus",1896-01-06,1909-10-24
58,JMcKenna,"McKenna, Joseph",1898-01-26,1925-01-05
59,OWHolmes,"Holmes, Oliver",1902-08-11,1932-01-12
60,WRDay,"Day, William",1903-03-02,1922-11-13
61,WHMoody,"Moody, William",1906-12-17,1910-11-20
62,HHLurton,"Lurton, Horace",1910-01-03,1914-07-12
63,CEHughes1,"Hughes, Charles",1910-10-10,1916-06-10
64,WVanDevanter,"Van Devanter, Willis",1911-01-03,1937-06-02
65,JRLamar,"Lamar, Joseph",1911-01-03,1916-01-02
66,MPitney,"Pitney, Mahlon",1912-03-18,1922-12-31
67,JCMcReynolds,"McReynolds, James",1914-10-12,1941-01-31
68,LDBrandeis,"Brandeis, Louis",1916-06-05,1939-02-13
69,JHClarke,"Clarke, John",1916-10-09,1922-09-18
70,WHTaft,"Taft, William",1921-07-11,1930-02-03
71,GSutherland,"Sutherland, George",1922-10-02,1938-01-17
72,PButler,"Butler, Pierce",1923-01-02,1939-11-16
73,ETSanford,"Sanford, Edward",1923-02-19,1930-03-08
74,HFStone,"Stone, Harlan",1925-03-02,1946-04-22
75,CEHughes2,"Hughes, Charles",1930-02-24,1941-07-01
76,OJRoberts,"Roberts, Owen",1930-06-02,1945-07-31
77,BNCardozo,"Cardozo, Benjamin",1932-03-14,1938-07-09
78,HLBlack,"Black, Hugo",1937-08-19,1971-09-17
79,SFReed,"Reed, Stanley",1938-01-31,1957-02-25
80,FFrankfurter,"Frankfurter, Felix",1939-01-30,1962-08-28
81,WODouglas,"Douglas, William",1939-04-17,1975-11-12
82,FMurphy,"Murphy, Francis",1940-02-05,1949-07-19
83,JFByrnes,"Byrnes, James",1941-07-08,1942-10-03
84,RHJackson,"Jackson, Robert",1941-07-11,1954-10-09
85,WBRutledge,"Rutledge, Wiley",1943-02-15,1949-09-10
86,HHBurton,"Burton, Harold",1945-10-01,1958-10-13
87,FMVinson,"Vinson, Fred",1946-06-24,1953-09-08
88,TCClark,"Clark, Tom",1949-08-24,1967-06-12
89,SMinton,"Minton, Sherman",1949-10-12,1956-10-15
90,EWarren,"Warren, Earl",1953-10-05,1969-06-23
91,JHarlan2,"Harlan, John",1955-03-28,1971-09-23
