code,label
10010,"involuntary confession"
10020,"habeas corpus"
10030,"plea bargaining: the constitutionality of and/or the circumstances of its exercise"
10040,"retroactivity (of newly announced or newly enacted constitutional or statutory rights)"
10050,"search and seizure (other than as pertains to vehicles or Crime Control Act)"
10060,"search and seizure, vehicles"
10070,"search and seizure, Crime Control Act"
10080,"contempt of court or congress"
10090,"self-incrimination (other than as pertains to Miranda or immunity from prosecution)"
10100,"Miranda warnings"
10110,"self-incrimination, immunity from prosecution"
10120,"right to counsel"
10130,"cruel and unusual punishment, death penalty"
10140,"cruel and unusual punishment, non-death penalty"
10150,"line-up"
10160,"discovery and inspection (criminal litigation)"
10170,"double jeopardy"
10180,"ex post facto (state)"
10190,"extra-legal jury influences: miscellaneous"
10200,"extra-legal jury influences: prejudicial statements or evidence"
10210,"extra-legal jury influences: contact with jurors outside courtroom"
10220,"extra-legal jury influences: jury instructions"
10230,"extra-legal jury influences: voir dire"
10240,"extra-legal jury influences: prison garb or appearance"
10250,"extra-legal jury influences: jurors and death penalty"
10260,"extra-legal jury influences: pretrial publicity"
10270,"confrontation (right to confront accuser, call and cross-examine witnesses)"
10280,"subconstitutional fair procedure: confession of error"
10290,"subconstitutional fair procedure: conspiracy"
10300,"subconstitutional fair procedure: entrapment"
10310,"subconstitutional fair procedure: exhaustion of remedies"
10320,"subconstitutional fair procedure: fugitive from justice"
10330,"subconstitutional fair procedure: presentation, admissibility, or sufficiency of evidence"
10340,"subconstitutional fair procedure: stay of execution"
10350,"subconstitutional fair procedure: timeliness"
10360,"subconstitutional fair procedure: miscellaneous"
10370,"Federal Rules of Criminal Procedure"
10380,"statutory construction of criminal laws: assault"
10390,"statutory construction of criminal laws: bank robbery"
10400,"statutory construction of criminal laws: conspiracy"
10410,"statutory construction of criminal laws: escape from custody"
10420,"statutory construction of criminal laws: false statements"
10430,"statutory construction of criminal laws: financial"
10440,"statutory construction of criminal laws: firearms"
10450,"statutory construction of criminal laws: fraud"
10460,"statutory construction of criminal laws: gambling"
10470,"statutory construction of criminal laws: Hobbs Act"
10480,"statutory construction of criminal laws: immigration"
10490,"statutory construction of criminal laws: internal revenue"
10500,"statutory construction of criminal laws: Mann Act and related statutes"
10510,"statutory construction of criminal laws: narcotics"
10520,"statutory construction of criminal laws: obstruction of justice"
10530,"statutory construction of criminal laws: perjury"
10540,"statutory construction of criminal laws: Travel Act, 18 USC 1952"
10550,"statutory construction of criminal laws: war crimes"
10560,"statutory construction of criminal laws: sentencing guidelines"
10570,"statutory construction of criminal laws: miscellaneous"
10580,"jury trial (right to)"
10590,"speedy trial"
10600,"miscellaneous criminal procedure"
20010,"voting"
20020,"Voting Rights Act of 1965, plus amendments"
20030,"ballot access (of candidates and political parties)"
20040,"desegregation (other than school desegregation, employment discrimination, affirmative action)"
20050,"desegregation, schools"
20060,"employment discrimination: on basis of race, age, religion, illegitimacy, national origin, or working conditions"
20070,"affirmative action"
20075,"slavery or indenture"
20080,"sit-in demonstrations"
20090,"reapportionment: other than plans governed by the Voting Rights Act"
20100,"debtors' rights"
20110,"deportation"
20120,"employability of aliens"
20130,"sex discrimination (excluding employment)"
20140,"sex discrimination in employment"
20150,"Indians (other than state jurisdiction over)"
20160,"Indians, state jurisdiction over"
20170,"juveniles"
20180,"poverty law, constitutional"
20190,"poverty law, statutory: welfare benefits"
20200,"illegitimates, rights of"
20210,"handicapped, rights of"
20220,"residency requirements"
20230,"military: draftee, or person subject to induction"
20240,"military: active duty"
20250,"military: veteran"
20260,"immigration and naturalization: permanent residence"
20270,"immigration and naturalization: citizenship"
20280,"immigration and naturalization: loss of citizenship, denaturalization"
20290,"immigration and naturalization: access to public education"
20300,"immigration and naturalization: welfare benefits"
20310,"immigration and naturalization: miscellaneous"
20320,"indigents: appointment of counsel"
20330,"indigents: inadequate representation by counsel"
20340,"indigents: payment of fine"
20350,"indigents: costs or filing fees"
20360,"indigents: U.S. Supreme Court docketing fee"
20370,"indigents: transcript"
20380,"indigents: assistance of psychiatrist"
20390,"indigents: miscellaneous"
20400,"liability, civil rights acts"
20410,"miscellaneous civil rights"
30010,"First Amendment, miscellaneous"
30020,"commercial speech, excluding attorneys"
30030,"libel, defamation: of public officials and public and private persons"
30040,"libel, privacy: true and false light invasions of privacy"
30050,"legislative investigations: concerning internal security only"
30060,"federal or state internal security legislation"
30070,"loyalty oath or non-Communist affidavit"
30080,"loyalty oath: bar applicants"
30090,"loyalty oath: government employees"
30100,"loyalty oath: political party"
30110,"loyalty oath: teachers"
30120,"security risks: denial of benefits or dismissal of employees"
30130,"conscientious objectors to military service"
30140,"campaign spending"
30150,"protest demonstrations"
30160,"free exercise of religion"
30170,"establishment of religion"
30180,"parochiaid"
